season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2025,1,dad will win,Marvelous Mamma,Win,110.40,103.20,false,
2025,1,Marvelous Mamma,dad will win,Loss,103.20,110.40,false,
2025,1,Daphne's Magic,Pinkie pink 🏈,Win,91.90,78.80,false,
2025,1,Pinkie pink 🏈,Daphne's Magic,Loss,78.80,91.90,false,
2025,2,dad will win,Pinkie pink 🏈,Loss,107.70,111.70,false,
2025,2,Pinkie pink 🏈,dad will win,Win,111.70,107.70,false,
2025,2,Daphne's Magic,Marvelous Mamma,Win,114.90,102.60,false,
2025,2,Marvelous Mamma,Daphne's Magic,Loss,102.60,114.90,false,
2025,3,dad will win,Daphne's Magic,Loss,80.20,114.10,false,
2025,3,Daphne's Magic,dad will win,Win,114.10,80.20,false,
2025,3,Marvelous Mamma,Pinkie pink 🏈,Loss,75.50,102.30,false,
2025,3,Pinkie pink 🏈,Marvelous Mamma,Win,102.30,75.50,false,
2025,4,dad will win,Marvelous Mamma,Loss,114.40,128.90,false,
2025,4,Marvelous Mamma,dad will win,Win,128.90,114.40,false,
2025,4,Daphne's Magic,Pinkie pink 🏈,Loss,106.80,117.50,false,
2025,4,Pinkie pink 🏈,Daphne's Magic,Win,117.50,106.80,false,
2025,5,dad will win,Pinkie pink 🏈,Win,148.30,110.90,false,
2025,5,Pinkie pink 🏈,dad will win,Loss,110.90,148.30,false,
2025,5,Daphne's Magic,Marvelous Mamma,Win,141.10,109.10,false,
2025,5,Marvelous Mamma,Daphne's Magic,Loss,109.10,141.10,false,
2025,6,dad will win,Daphne's Magic,Loss,121.70,126.40,false,
2025,6,Daphne's Magic,dad will win,Win,126.40,121.70,false,
2025,6,Marvelous Mamma,Pinkie pink 🏈,Loss,117.60,145.80,false,
2025,6,Pinkie pink 🏈,Marvelous Mamma,Win,145.80,117.60,false,
2025,7,dad will win,Marvelous Mamma,Loss,81.80,102.70,false,
2025,7,Marvelous Mamma,dad will win,Win,102.70,81.80,false,
2025,7,Daphne's Magic,Pinkie pink 🏈,Win,169.80,163.60,false,
2025,7,Pinkie pink 🏈,Daphne's Magic,Loss,163.60,169.80,false,
2025,8,dad will win,Pinkie pink 🏈,Win,132.80,106.60,false,
2025,8,Pinkie pink 🏈,dad will win,Loss,106.60,132.80,false,
2025,8,Daphne's Magic,Marvelous Mamma,Win,118.40,92.00,false,
2025,8,Marvelous Mamma,Daphne's Magic,Loss,92.00,118.40,false,
2025,9,dad will win,Daphne's Magic,Loss,82.60,124.80,false,
2025,9,Daphne's Magic,dad will win,Win,124.80,82.60,false,
2025,9,Marvelous Mamma,Pinkie pink 🏈,Loss,50.10,117.70,false,
2025,9,Pinkie pink 🏈,Marvelous Mamma,Win,117.70,50.10,false,
2025,10,dad will win,Marvelous Mamma,Win,95.20,50.80,false,
2025,10,Marvelous Mamma,dad will win,Loss,50.80,95.20,false,
2025,10,Daphne's Magic,Pinkie pink 🏈,Win,107.20,85.80,false,
2025,10,Pinkie pink 🏈,Daphne's Magic,Loss,85.80,107.20,false,
2025,11,dad will win,Pinkie pink 🏈,Win,124.60,85.30,false,
2025,11,Pinkie pink 🏈,dad will win,Loss,85.30,124.60,false,
2025,11,Daphne's Magic,Marvelous Mamma,Win,112.60,85.20,false,
2025,11,Marvelous Mamma,Daphne's Magic,Loss,85.20,112.60,false,
